lot;panels;boards;panelSize;boardsInFrame;anzahlFrames;projNr;machineId;process;subProcess;ManufacturingTime;prozessOrder;tactTime_brutto;tactTime_netto;testDauer
K25.000463-001;107;535;5;NULL;NULL;591F1D;2;4_AOI;4_AOI_SIDEA;2025-09-30 00:00:00.000;1;1,2333;1,1333;1,1
K25.000463-001;107;535;5;15;52;591F1D;3;3_SEL;3_SELA;2025-09-30 00:00:00.000;2;1,2333;1,0833;3,2833
K25.000463-001;107;535;5;NULL;NULL;591F1D;APT-1600FD FP-MACHINE3;5_FPT;5_FPT_BASIC;2025-09-30 00:00:00.000;3;0,9833;0,9;0,9167
KA22.001127-002;47;95;2;4;25;487G1A;3;3_SEL;3_SELA;2024-12-13 00:00:00.000;1;1,85;1,5833;3,05
KA22.001127-002;50;100;2;NULL;NULL;487G1A;2;4_AOI;4_AOI_SIDEB;2024-12-13 00:00:00.000;2;1,75;1,4333;1,35
KA22.001127-002;50;100;2;NULL;NULL;487G1A;APT-1600FD FP-MACHINE2;5_FPT;5_FPT_PREMIUM;2024-12-13 00:00:00.000;3;3,65;3,25;3,1
KA23.000049-004;50;50;1;1;50;487H1B;4;3_SEL;3_SELA;2024-10-01 00:00:00.000;1;5,3833;3,8667;3,8667
KA23.000049-004;50;50;1;NULL;NULL;487H1B;APT-1600FD FP-MACHINE;5_FPT;5_FPT_BASIC;2024-10-01 00:00:00.000;2;1,9333;1,4333;1,3333
KA23.000118-001;200;200;1;NULL;NULL;26621B;2;4_AOI;4_AOI_SIDEB;2024-11-08 00:00:00.000;1;1,0333;0,9;0,8333
KA23.000118-001;197;197;1;NULL;NULL;26621B;APT-1600FD FP-MACHINE;5_FPT;5_FPT_PREMIUM;2024-11-08 00:00:00.000;2;1,7667;1,4167;1,25
KA23.000118-002;50;1000;20;NULL;NULL;0069FF;2;4_AOI;4_AOI_SIDEA;2024-10-25 00:00:00.000;1;0,5833;0,5;0,3833
KA23.000118-002;50;1000;20;NULL;NULL;0069FF;APT-1600FD FP-MACHINE;5_FPT;5_FPT_PREMIUM;2024-10-25 00:00:00.000;2;1,3833;1,2833;1,2667
KA23.000137-005;20;400;20;NULL;NULL;0069GE;2;4_AOI;4_AOI_SIDEA;2024-09-06 00:00:00.000;1;0,65;0,4;0,35
KA23.000137-005;21;420;20;NULL;NULL;0069GE;APT-1600FD FP-MACHINE3;5_FPT;5_FPT_PREMIUM;2024-09-06 00:00:00.000;2;1,75;1,2833;1,1667
KA23.000137-008;100;2000;20;NULL;NULL;0069FF;2;4_AOI;4_AOI_SIDEA;2024-11-15 00:00:00.000;1;0,6333;0,4833;0,3667
KA23.000137-008;100;2000;20;NULL;NULL;0069FF;APT-1600FD FP-MACHINE3;5_FPT;5_FPT_PREMIUM;2024-11-15 00:00:00.000;2;1,45;1,3;1,3333
KA23.000168-003;13;260;20;NULL;NULL;53721B;2;4_AOI;4_AOI_SIDEB;2024-09-12 00:00:00.000;1;1,9667;1,2;1,1833
