lots;boards;panels;anzahlFrames;panelSize;boardsInFrame;projNr;process;subProcess;prozessOrder;frame_tactTime_brutto;frame_tactTime_netto;panel_tactTime_brutto;panel_tactTime_netto;board_tactTime_brutto;board_tactTime_netto;manufacturingTime
48;25034;12517;NULL;2;NULL;00671I;1_SMT;1_SMTA;1;NULL;NULL;0,7056;0,5865;0,3528;0,2933;2025-04-28
48;40194;20097;NULL;2;NULL;00671I;2_ODD;2_ODDA;2;NULL;NULL;2,1185;1,8696;1,0593;0,9348;2025-04-09
48;12638;6319;6499;2;4;00671I;3_SEL;3_SELA;3;3,4638;2,8;1,7319;1,4;0,866;0,7;2025-04-28
48;9482;4741;NULL;2;NULL;00671I;4_AOI;4_AOI_SIDEA;4;NULL;NULL;0,4737;0,4132;0,2368;0,2066;2025-04-09
48;34968;17484;NULL;2;NULL;00671I;4_AOI;4_AOI_SIDEB;5;NULL;NULL;0,5981;0,4566;0,299;0,2283;2025-04-09
48;28828;14414;NULL;2;NULL;00671I;4_AOI;4_AOI_SMT;6;NULL;NULL;0,4547;0,4093;0,2273;0,2047;2025-11-04
48;40188;20094;NULL;2;NULL;00671I;5_FPT;5_FPT_BASIC;7;NULL;NULL;1,2693;1,1283;0,6347;0,5642;2025-04-09
48;31164;15582;NULL;2;NULL;00671I;6_DEP;6_DEP;8;NULL;NULL;0,6897;0,596;0,3448;0,298;2025-10-03
4;186;93;97;2;4;0067AH;3_SEL;3_SELA;1;5,1334;3,9;2,5667;1,95;1,2833;0,975;2024-09-06
4;2012;1006;NULL;2;NULL;0067AH;4_AOI;4_AOI_SIDEA;2;NULL;NULL;0,4584;0,4209;0,2292;0,2104;2024-09-06
4;2012;1006;NULL;2;NULL;0067AH;4_AOI;4_AOI_SIDEB;3;NULL;NULL;0,5791;0,5125;0,2896;0,2563;2024-09-06
4;2012;1006;NULL;2;NULL;0067AH;5_FPT;5_FPT_BASIC;4;NULL;NULL;1,1708;1,0375;0,5854;0,5188;2024-09-06
5;3076;1538;NULL;2;NULL;0067AI;1_SMT;1_SMTA;1;NULL;NULL;0,7125;0,675;0,3563;0,3375;2025-05-28
5;4030;2015;NULL;2;NULL;0067AI;2_ODD;2_ODDA;2;NULL;NULL;2,17;1,8633;1,085;0,9317;2025-05-28
5;1974;987;1015;2;4;0067AI;3_SEL;3_SELA;3;3,7466;2,8733;1,8733;1,4367;0,9367;0,7183;2025-05-28
5;1008;504;NULL;2;NULL;0067AI;4_AOI;4_AOI_SIDEA;4;NULL;NULL;0,425;0,3916;0,2125;0,1958;2025-05-28
5;4030;2015;NULL;2;NULL;0067AI;4_AOI;4_AOI_SIDEB;5;NULL;NULL;0,62;0,49;0,31;0,245;2025-05-28
5;3024;1512;NULL;2;NULL;0067AI;4_AOI;4_AOI_SMT;6;NULL;NULL;0,4555;0,4167;0,2278;0,2083;2026-02-17
5;3942;1971;NULL;2;NULL;0067AI;5_FPT;5_FPT_BASIC;7;NULL;NULL;1,3042;1,1396;0,6521;0,5698;2025-05-28
5;90;45;NULL;2;NULL;0067AI;5_FPT;5_FPT_PREMIUM;8;NULL;NULL;2,65;2,4333;1,325;1,2167;2025-05-28
5;3020;1510;NULL;2;NULL;0067AI;6_DEP;6_DEP;9;NULL;NULL;0,7778;0,7;0,3889;0,35;2026-02-17
2;400;200;NULL;2;NULL;0067BI;1_SMT;1_SMTA;1;NULL;NULL;0,65;0,6;0,325;0,3;2026-01-16
2;250;125;143;2;4;0067BI;3_SEL;3_SELA;2;1,8;1,3167;0,9;0,6583;0,45;0,3292;2025-11-05
2;500;250;NULL;2;NULL;0067BI;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,3667;1,1833;0,6834;0,5917;2025-11-05
2;496;248;NULL;2;NULL;0067BI;5_FPT;5_FPT_BASIC;4;NULL;NULL;1,1917;1,0833;0,5958;0,5416;2025-11-05
2;500;250;NULL;2;NULL;0067BI;6_DEP;6_DEP;5;NULL;NULL;0,6666;0,5917;0,3333;0,2958;2025-11-05
2;801;89;NULL;9;NULL;00681A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,0333;0,875;0,1148;0,0972;2025-09-04
2;792;88;NULL;9;NULL;00681A;5_FPT;5_FPT_PREMIUM;2;NULL;NULL;2,025;1,5667;0,225;0,1741;2025-09-04
